,precision@5,recall@5,f1@5,ndcg@5,map@5,discovery_rate@5
B1_Random,0.201,0.2469,0.2216,0.2283,0.5002,0.799
B2_Popularity,0.38,0.4869,0.4269,0.5016,0.7149,0.62
B3_PhysicalOnly,0.335,0.4149,0.3707,0.4243,0.6851,0.665
B4_InterestOnly,0.321,0.4188,0.3634,0.4058,0.6289,0.679
B5_FullXGBoost,0.332,0.4217,0.3715,0.4291,0.6777,0.668
B6_FullRF,0.372,0.4784,0.4185,0.4911,0.7083,0.628
T1_TunedXGB,0.317,0.4011,0.3541,0.4125,0.6765,0.683
T2_TunedRF,0.371,0.4757,0.4169,0.4934,0.7254,0.629
S1_Stacking,0.381,0.4865,0.4273,0.4977,0.7049,0.619
S2_Stack+Disc,0.143,0.1793,0.1591,0.2028,0.6389,0.857
