,precision@5,recall@5,f1@5,ndcg@5,map@5,discovery_rate@5,precision@10,recall@10,f1@10,ndcg@10,map@10,discovery_rate@10
B1_Random,0.20100001990795135,0.24692663550376892,0.2216088591485866,0.22826939259578352,0.5002487562189055,0.7989999999999999,0.20499999821186066,0.5157050490379333,0.29337808321770054,0.34346067380679446,0.3781811789211214,0.795
B2_Popularity,0.3799999952316284,0.4869067966938019,0.42686152654690473,0.5016215792873996,0.714945987654321,0.6199999999999999,0.2775000333786011,0.7122083902359009,0.39938601177963384,0.584786026858174,0.6163333631698293,0.7225
B3_PhysicalOnly,0.33500000834465027,0.41487082839012146,0.3706817822771027,0.42429116602728556,0.6851070950468542,0.665,0.25450000166893005,0.6407960653305054,0.364309872199206,0.5091570081111528,0.5667325045310836,0.7455000000000002
B4_InterestOnly,0.32100000977516174,0.418774276971817,0.36342583837436776,0.40578874946893806,0.6288725490196079,0.679,0.2590000033378601,0.6616800427436829,0.37227945179694627,0.5030537219703982,0.520644735731172,0.741
B5_FullXGBoost,0.3320000171661377,0.4216978847980499,0.3715114577590308,0.4290964158010766,0.677727576974565,0.6679999999999999,0.2640000283718109,0.6701733469963074,0.3787857487533487,0.5273082554068123,0.5490475230496239,0.736
B6_FullRF,0.3720000088214874,0.4783547818660736,0.4185264384468667,0.49106782744743,0.7083179864947822,0.628,0.27650001645088196,0.7112932801246643,0.39820598569895244,0.5778260065420358,0.6100260422882603,0.7234999999999999
T1_TunedXGB,0.31700000166893005,0.4011155664920807,0.35413139364848567,0.4124696018813159,0.6764792899408283,0.6829999999999999,0.26350003480911255,0.6784641742706299,0.37957988194435327,0.522744217423118,0.5426531976426935,0.7365
T2_TunedRF,0.3709999918937683,0.4757106602191925,0.41688066297564585,0.4933744934914291,0.7254001883239172,0.629,0.2760000228881836,0.7100279927253723,0.39748919331479016,0.5800877675630004,0.6138681102557982,0.7240000000000001
S1_Stacking,0.38100001215934753,0.4864877164363861,0.4273301342049606,0.49773189595202794,0.7048765432098765,0.619,0.281000018119812,0.7199283242225647,0.40422448155871216,0.5832981936255951,0.6028546067549827,0.7190000000000001
S2_Stack+Disc,0.14300000667572021,0.17926587164402008,0.15909236298934348,0.20275037013421143,0.6388888888888888,0.857,0.12350000441074371,0.30399662256240845,0.17564388105194131,0.25179036065184124,0.4469985728209412,0.8765000000000001
